"Source";"nr.results"
"0 + 1   1";7
"12-month-old infants allocate increased neural resources to stimuli associa...  EBSCOhost";24
"12-month follow-up of fluoxetine and cognitive behavioral therapy for binge...  EBSCOhost";7
"1985_DP_A cognition-emotion-action sequence  Anticipated emotional consequences of ...  EBSCOhost";13
"1985_DP_A comparison of identity and intimacy statuses in college students and alum...  EBSCOhost";3
"1985_DP_A factor analytic study of the HOME scale for infants  EBSCOhost";4
"1985_DP_A revised class play method of peer assessment  EBSCOhost";1
"1985_DP_A short-term longitudinal study of memorial development during early grade ...  EBSCOhost";15
"1985_DP_Accuracy and consistency in the development of social perception  EBSCOhost";3
"1985_DP_Acquisition of emotion-descriptive language  Receptive and productive vocab...  EBSCOhost";5
"1985_DP_Adolescent mother–infant–father relationships  EBSCOhost";7
"1985_DP_Adolescents' perception of discussions with parents and friends  EBSCOhost";17
"1985_DP_Adult age differences in recognition memory and frequency judgments for pla...  EBSCOhost";2
"1985_DP_Age-related changes in children's perceptions of aggression and withdrawal ...  EBSCOhost";3
"1985_DP_Age and sex effects for emotional intensity  EBSCOhost";8
"1985_DP_An evaluation of two hypotheses concerning the dynamics of cognitive impuls...  EBSCOhost";17
"1985_DP_Animism in childhood thinking  A new look at an old question  EBSCOhost";24
"1985_DP_Beyond the reinforcement principle  Another step toward understanding sex r...  EBSCOhost";6
"1985_DP_Bisensory response to temporal frequency in 4-month-old infants  EBSCOhost";17
"1985_DP_Categorization as a preferred memory strategy  Developmental changes during...  EBSCOhost";10
"1985_DP_Child care arrangements and children's functioning  A comparison of self-ca...  EBSCOhost";7
"1985_DP_Children's evaluations of fathers' socialization behavior  EBSCOhost";8
"1985_DP_Children's impressions of moral and conventional transgressors  EBSCOhost";16
"1985_DP_Children's justifications for their adult and peer-directed compliant (pros...  EBSCOhost";7
"1985_DP_Children's perceptions of the personal relationships in their social networ...  EBSCOhost";31
"1985_DP_Children's responses to ambiguous messages and their understanding of ambig...  EBSCOhost";15
"1985_DP_Competence, reticence, and helping by children and adolescents  EBSCOhost";14
"1985_DP_Continuities and changes in emotion expressions during brief separation at ...  EBSCOhost";2
"1985_DP_Cross-modal and intramodal transfer as predictors of mental development in ...  EBSCOhost";29
"1985_DP_Detection of information specifying the motion of objects by 3- and 5-month...  EBSCOhost";29
"1985_DP_Detection of intermodal proprioceptive–visual contingency as a potential ba...  EBSCOhost";15
"1985_DP_Determinants of retention in 8-week-old infants  EBSCOhost";35
"1985_DP_Development of absolute and relative concepts of number in preschool childr...  EBSCOhost";8
"1985_DP_Development of logical search skills in infancy  EBSCOhost";8
"1985_DP_Development of recognition of emotions  Children's reliance on situational ...  EBSCOhost";22
"1985_DP_Development of self-body-esteem in overweight youngsters  EBSCOhost";19
"1985_DP_Development of sex-typed play behavior in toddlers  EBSCOhost";12
"1985_DP_Development of social-moral reasoning among Kibbutz adolescents  A longitud...  EBSCOhost";1
"1985_DP_Development of taxonomic organization of named and pictured categories  EBSCOhost";15
"1985_DP_Development of the concept of truth-functional negation  EBSCOhost";9
"1985_DP_Developmental and individual differences in conditional reasoning  The role...  EBSCOhost";14
"1985_DP_Developmental changes in infants' visual response to temporal frequency  EBSCOhost";15
"1985_DP_Developmental differences in responses to a television character's appearan...  EBSCOhost";6
"1985_DP_Different developmental courses for very-low-birthweight infants differing ...  EBSCOhost";19
"1985_DP_Differentiation of the concepts of luck and skill  EBSCOhost";12
"1985_DP_Down's syndrome temperament and maternal response to descriptions of child ...  EBSCOhost";9
"1985_DP_Early temperamental antecedents of adult Type A behaviors  EBSCOhost";6
"1985_DP_Effect of interest on attentional shift, recognition, and recall in young c...  EBSCOhost";13
"1985_DP_Effect of presenting a message in written form on young children's ability ...  EBSCOhost";7
"1985_DP_Effect of self-initiated locomotion on infant search activity  EBSCOhost";1
"1985_DP_Effects of early maternal employment on toddlers, mothers, and fathers  EBSCOhost";30
"1985_DP_Effects of sibling relationships on preschoolers' behavior at home and at s...  EBSCOhost";10
"1985_DP_Ego identity, intimacy, sex role orientation, and gender  EBSCOhost";8
"1985_DP_Emotional responses of Down syndrome and normal infants in the Strange Situ...  EBSCOhost";31
"1985_DP_Fantasy play and related cognitive development in 2- to 6-year-olds  EBSCOhost";13
"1985_DP_Fluctuations in unimanual hand preference in infants following the onset of...  EBSCOhost";11
"1985_DP_Gender differences in altruistic reputation  Are they artifactual   EBSCOhost";4
"1985_DP_Home environment and development of slow-learning adolescents  Reciprocal r...  EBSCOhost";4
"1985_DP_Individual differences in visual self-recognition as a function of mother–i...  EBSCOhost";4
"1985_DP_Infant communicative development  Evidence from adoptive and biological fam...  EBSCOhost";3
"1985_DP_Infants' sensitivity to relative size information for distance  EBSCOhost";8
"1985_DP_Infants' understanding of visible displacements  EBSCOhost";26
"1985_DP_Influence of concurrent auditory input on tactual processing in very young ...  EBSCOhost";7
"1985_DP_Influence of conflict between adults on the emotions and aggression of youn...  EBSCOhost";29
"1985_DP_Information processing and the development of cooperative, competitive, and...  EBSCOhost";13
"1985_DP_Judging the intentionality of action-outcomes  EBSCOhost";10
"1985_DP_Learning via observation during the second year of life  EBSCOhost";26
"1985_DP_Left visual-field advantage in children for processing visual emotional sti...  EBSCOhost";20
"1985_DP_Life events and psychological distress  A prospective study of young adoles...  EBSCOhost";34
"1985_DP_Loneliness among children and young adolescents  EBSCOhost";4
"1985_DP_Longitudinal evaluation of the effects of two compensatory preschool progra...  EBSCOhost";6
"1985_DP_Maternal emotional signaling  Its effect on the visual cliff behavior of 1-...  EBSCOhost";5
"1985_DP_Mental rotation of facial profiles  Age-, sex-, and ability-related differe...  EBSCOhost";5
"1985_DP_Moral reasoning and leadership among men in a Papua New Guinea society  EBSCOhost";6
"1985_DP_Motive–outcome matching and outcome foreseeability  Effects on attribution ...  EBSCOhost";8
"1985_DP_Naturalistic and structured assessments of prosocial behavior in preschool ...  EBSCOhost";6
"1985_DP_Negotiation of responsibility  Judgments of blameworthiness in a natural se...  EBSCOhost";7
"1985_DP_On the motivational bases for attachment behavior  EBSCOhost";10
"1985_DP_Organization versus item effects of an elaborated knowledge base on childre...  EBSCOhost";16
"1985_DP_Organizing stories  Effects of development and task difficulty on referenti...  EBSCOhost";14
"1985_DP_P300 latency and memory span development  EBSCOhost";3
"1985_DP_Perception of relational invariants by newborns  EBSCOhost";4
"1985_DP_Perceptual grouping and spatial distortion  A developmental study  EBSCOhost";7
"1985_DP_Perseveration and infants' search  A comparison of two- and three-location ...  EBSCOhost";8
"1985_DP_Personality change during the transition to parenthood  The role of perceiv...  EBSCOhost";22
"1985_DP_Physical maturation rate and cognitive performance in early adolescence  A ...  EBSCOhost";13
"1985_DP_Preschool children's conceptions of transgressions  Effects of varying mora...  EBSCOhost";3
"1985_DP_Profiles of peer competence in the preschool  Interrelations between measur...  EBSCOhost";11
"1985_DP_Relation of moral judgment development to formal education  EBSCOhost";6
"1985_DP_Relations between reflection–impulsivity and behavioral impulsivity in pres...  EBSCOhost";22
"1985_DP_Relationship between visual and tactual exploration by 6-month-olds  EBSCOhost";14
"1985_DP_Responses of abused and disadvantaged toddlers to distress in agemates  A s...  EBSCOhost";1
"1985_DP_Responses to 'neutral' pronoun presentations and the development of sex-bia...  EBSCOhost";16
"1985_DP_Retrieving for rehearsal  An analysis of active rehearsal in children's mem...  EBSCOhost";15
"1985_DP_Role relationships and behavior between preschool-aged and school-aged sibl...  EBSCOhost";18
"1985_DP_Rudiments of infant temperament  Newborn to 9 months  EBSCOhost";1
"1985_DP_Selective remembering during adolescence  EBSCOhost";9
"1985_DP_Self-initiated speech repairs  A reflection of communicative monitoring in ...  EBSCOhost";9
"1985_DP_Self-regulatory functions of children's private speech  A critical analysis...  EBSCOhost";6
"1985_DP_Sex differences in vocal interaction with mother and stranger in Greek infa...  EBSCOhost";6
"1985_DP_Slot-filler categories as memory organizers for young children  EBSCOhost";21
"1985_DP_Social behavior of urban and kibbutz preschool children in Israel  EBSCOhost";10
"1985_DP_Social comparison, task motivation, and the development of self-evaluative ...  EBSCOhost";14
"1985_DP_Stability and change in adult personality over 12 and 20 years  EBSCOhost";1
"1985_DP_Stability and change in childhood and adolescent friendships  EBSCOhost";18
"1985_DP_Teasing out cognitive development from cognitive style  A training study  EBSCOhost";12
"1985_DP_Temporal memory for performed activities  Intentionality and adult age diff...  EBSCOhost";2
"1985_DP_The child's conception of food  The development of contamination sensitivit...  EBSCOhost";2
"1985_DP_The road not taken  Understanding the implications of initial uncertainty i...  EBSCOhost";6
"1985_DP_Variability in peer group perceptions  Support for the 'controversial' soci...  EBSCOhost";10
"1985_DP_What are we testing   EBSCOhost";1
"1985_DP_Young children's conception of lying  Moral intuition and the denotation an...  EBSCOhost";4
"1986_DP_A developmental study of shape integration over space and time  EBSCOhost";30
"1986_DP_Adolescent egocentrism and formal operations  Tests of a theoretical assump...  EBSCOhost";27
"1986_DP_Adults' demonstration of underlying Euclidean concepts in relation to task ...  EBSCOhost";9
"1986_DP_Adults' expectancies about children's emotional responsiveness  Implication...  EBSCOhost";8
"1986_DP_Age-related differences in children's perceptions of social deviance  Chang...  EBSCOhost";12
"1986_DP_Aging and the priming of newly learned associations  EBSCOhost";28
"1986_DP_Assessing adolescent interpersonal negotiation strategies  Toward the integ...  EBSCOhost";11
"1986_DP_Can decline in adult intellectual functioning be reversed   EBSCOhost";1
"1986_DP_Certainty and necessity in the understanding of Piagetian concepts  EBSCOhost";4
"1986_DP_Children's achievement strategies and test performance  The role of time pr...  EBSCOhost";6
"1986_DP_Children's attributions regarding the situational determinants of emotion i...  EBSCOhost";11
"1986_DP_Children's concepts of volume and flotation  EBSCOhost";7
"1986_DP_Children's construction of horizontals, verticals, and diagonals  An operat...  EBSCOhost";7
"1986_DP_Children's generation and communication of mnemonic organizational strategi...  EBSCOhost";30
"1986_DP_Children's misbehaviors and parental discipline strategies in abusive and n...  EBSCOhost";34
"1986_DP_Children's perceptions of friendships as supportive relationships  EBSCOhost";28
"1986_DP_Children's preschool script reconstruction  Reliance on general knowledge a...  EBSCOhost";20
"1986_DP_Children's understanding of social anxiety  EBSCOhost";25
"1986_DP_Children's understanding of verbal and facial display rules  EBSCOhost";7
"1986_DP_Combinatorial play, conceptual development, and early multiword speech  EBSCOhost";8
"1986_DP_Comprehension of pronouns in young and older adults  EBSCOhost";1
"1986_DP_Development of children's understanding of ambivalence and causal theories ...  EBSCOhost";17
"1986_DP_Development of conventional object term descriptions  EBSCOhost";13
"1986_DP_Development of intuitive theories of motion  Curvilinear motion in the abse...  EBSCOhost";4
"1986_DP_Development of referential communication  Deciding that a message is uninfo...  EBSCOhost";16
"1986_DP_Development of referential communication skills  How familiarity with a lis...  EBSCOhost";5
"1986_DP_Developmental changes in the understanding of pictorial representations of ...  EBSCOhost";8
"1986_DP_Developmental differences in the use of an abstract reference frame to infe...  EBSCOhost";14
"1986_DP_Early cross-cultural commonalities in social explanation  EBSCOhost";20
"1986_DP_Early development of relationship quality in heterosexual married, heterose...  EBSCOhost";11
"1986_DP_Early hormonal influences on cognitive functioning in congenital adrenal hy...  EBSCOhost";5
"1986_DP_Effects of experimentally imposed noise on task performance of Black childr...  EBSCOhost";4
"1986_DP_Effects of familiarization time on visual recognition memory in infant pigt...  EBSCOhost";4
"1986_DP_Effects of parental maltreatment on children's conceptions of interpersonal...  EBSCOhost";37
"1986_DP_Family socialization and the IQ test performance of traditionally and trans...  EBSCOhost";24
"1986_DP_Gender labeling and the adoption of sex-typed behaviors  EBSCOhost";11
"1986_DP_Identifying children who are rejected by their peers  EBSCOhost";8
"1986_DP_Infant attention in relation to intellectual abilities in childhood  EBSCOhost";15
"1986_DP_Influence of sex stereotypes on children's exploration and memory  A compet...  EBSCOhost";11
"1986_DP_Influence of the goal on children's exploration and memory of large-scale s...  EBSCOhost";16
"1986_DP_Information processing and age differences in social decision-making  EBSCOhost";20
"1986_DP_Informational basis for children's impressions of others  EBSCOhost";6
"1986_DP_Inoculation by emotion  Effects of positive emotional states on children's ...  EBSCOhost";15
"1986_DP_Intermodal perception of expressive behaviors  Relation of eye and voice   EBSCOhost";5
"1986_DP_Latchkey children and susceptibility to peer pressure  An ecological analys...  EBSCOhost";17
"1986_DP_Lexical ambiguity and children's word recognition  EBSCOhost";50
"1986_DP_Linguistic environment of 1- to 2-year-old twins  EBSCOhost";11
"1986_DP_Longitudinal observation of infant temperament  EBSCOhost";2
"1986_DP_Marital quality and mother–child and father–child interactions with school-...  EBSCOhost";16
"1986_DP_Moral reasoning and attitudes toward capital punishment  EBSCOhost";8
"1986_DP_Mothers' interactions with normal and conduct-disordered boys  Who affects ...  EBSCOhost";15
"1986_DP_Multisystemic treatment of juvenile offenders  Effects on adolescent behavi...  EBSCOhost";25
"1986_DP_Parents' beliefs about their children's cognitive abilities  EBSCOhost";5
"1986_DP_Patterns of emotion expression during separation in the strange-situation p...  EBSCOhost";16
"1986_DP_Peer interaction in young deaf children  The effect of partner hearing stat...  EBSCOhost";3
"1986_DP_Perceptions of peer pressure, peer conformity dispositions, and self-report...  EBSCOhost";22
"1986_DP_Pre- and postbirth antecedents of 2-year-old attention, capacity for relati...  EBSCOhost";1
"1986_DP_Preschool temperament and performance on achievement tests  EBSCOhost";2
"1986_DP_Process analyses of the behavior of very young children in delay tasks  EBSCOhost";4
"1986_DP_Psychological predictors of parents' sense of confidence and control and se...  EBSCOhost";6
"1986_DP_Reasoning about certainty and uncertainty in concrete, causal, and proposit...  EBSCOhost";17
"1986_DP_Referential communication and reading performance in learning disabled chil...  EBSCOhost";20
"1986_DP_Relationship of elementary school children's private speech to behavioral a...  EBSCOhost";19
"1986_DP_Retarded object permanence development in methylmercury exposed Macaca fasc...  EBSCOhost";9
"1986_DP_Sex-related strategies for coping with interpersonal conflict in children a...  EBSCOhost";5
"1986_DP_Social network relationships as sources of maternal support and well-being  EBSCOhost";7
"1986_DP_Social referencing  The infant's use of emotional signals from a friendly a...  EBSCOhost";7
"1986_DP_Some models and mechanisms for explaining the impact of maternal and adoles...  EBSCOhost";1
"1986_DP_Stability (and instability) of Type A behavior from childhood to young adul...  EBSCOhost";18
"1986_DP_Temperament, perceived competence, and depression in early and late adolesc...  EBSCOhost";5
"1986_DP_The balance of employment and motherhood  Longitudinal study of mothers' fe...  EBSCOhost";8
"1986_DP_The Genevan and Cattell-Horn conceptions of intelligence compared  Early im...  EBSCOhost";13
"1986_DP_The timing of puberty and its relationship to adolescent and parent percept...  EBSCOhost";15
"1986_DP_Transactive discussions with peers and adults  EBSCOhost";13
"1986_DP_Young children's preference for complementary pairs  Evidence against a shi...  EBSCOhost";4
"1987_DP_A developmental interpretation of young children's noncompliance  EBSCOhost";8
"1987_DP_A developmental look at pattern symmetry in perception and memory  EBSCOhost";54
"1987_DP_Acquaintanceship in middle childhood  EBSCOhost";16
"1987_DP_Acquisition of self and mother knowledge in infancy  EBSCOhost";16
"1987_DP_Adults' interpretation of infants' acts  EBSCOhost";5
"1987_DP_Balancing for weaknesses and challenging developmental potential  A longitu...  EBSCOhost";24
"1987_DP_Behavioral and heart rate pattern differences between breast-fed and bottle...  EBSCOhost";9
"1987_DP_Child's play with adults, toys, and peers  An examination of family and chi...  EBSCOhost";5
"1987_DP_Child-care quality and children's social development  EBSCOhost";2
"1987_DP_Child temperaments, maternal differential behavior, and sibling relationshi...  EBSCOhost";21
"1987_DP_Children's and adults' long-term memory for spatial locations over an exten...  EBSCOhost";19
"1987_DP_Children's counting strategies for time quantification and integration  EBSCOhost";4
"1987_DP_Children's understanding of the simultaneity of two emotions  A five-stage ...  EBSCOhost";17
"1987_DP_Children's use of situational information to infer emotion  Understanding e...  EBSCOhost";20
"1987_DP_Commands activate the behavior and pleasure of 2-year-old children  EBSCOhost";10
"1987_DP_Communication within infant social games  EBSCOhost";25
"1987_DP_Complex learning by low-birth-weight and normal-birth-weight juvenile pigta...  EBSCOhost";24
"1987_DP_Contextual organization and intentionality in adults' spatial memory  EBSCOhost";14
"1987_DP_Conversations about feeling states between mothers and their young children  EBSCOhost";30
"1987_DP_Development and content of imitation in the second and third years of life ...  EBSCOhost";24
"1987_DP_Development of children's inferences of the emotions of others  EBSCOhost";3
"1987_DP_Development of justification in disputes with mother and sibling  EBSCOhost";42
"1987_DP_Development of relational reasoning and avoidance of premature closure  EBSCOhost";7
"1987_DP_Effect of auditory numerical information on infants' looking behavior  Cont...  EBSCOhost";10
"1987_DP_Effects of maltreatment on young children's socioemotional development  An ...  EBSCOhost";4
"1987_DP_Electroencephalogram asymmetry in response to the approach of a stranger an...  EBSCOhost";19
"1987_DP_Empathy and responsibility in the motivation of children's helping  EBSCOhost";9
"1987_DP_Evaluation of comprehension in young and old adults  EBSCOhost";10
"1987_DP_Form and content in the development of deductive reasoning  EBSCOhost";24
"1987_DP_Formation of a mental abacus for computation and its use as a memory device...  EBSCOhost";7
"1987_DP_Girls' dating behavior as a function of social context and maturation  EBSCOhost";9
"1987_DP_Impact of grade retention on the social development of elementary school ch...  EBSCOhost";25
"1987_DP_Impact of puberty on family relations  Effects of pubertal status and puber...  EBSCOhost";1
"1987_DP_Infant preferences for attractive faces  Rudiments of a stereotype   EBSCOhost";6
"1987_DP_Infant visual attention  Stability of individual differences from 6 to 8 mo...  EBSCOhost";2
"1987_DP_Infant vocalizations and parental reactions during the first 4 months of li...  EBSCOhost";8
"1987_DP_Infants' emotion expressions to acute pain  Developmental change and stabil...  EBSCOhost";15
"1987_DP_Infants' encoding of kinetic displays varying in relative coherence  EBSCOhost";2
"1987_DP_Infants' social-constructive interactions with mothers and fathers  EBSCOhost";8
"1987_DP_Infants at social risk  Relations among infant maltreatment, maternal behav...  EBSCOhost";8
"1987_DP_Influence of body rotation on children's left–right confusion  A challenge ...  EBSCOhost";4
"1987_DP_Korean children's conceptions of moral and conventional transgressions  EBSCOhost";18
"1987_DP_Level of social-cognitive development, adaptive functioning, and DSM-III di...  EBSCOhost";17
"1987_DP_Life stress and adjustment  Effects of life events experienced by young ado...  EBSCOhost";56
"1987_DP_Making faces  Age and emotion differences in the posing of emotional expres...  EBSCOhost";7
"1987_DP_Maternal characteristics measured prenatally are predictive of ratings of t...  EBSCOhost";7
"1987_DP_Moral norms and social conventions  A cross-cultural comparison  EBSCOhost";15
"1987_DP_Mother–infant face-to-face interaction  The sequence of dyadic states at 3,...  EBSCOhost";4
"1987_DP_Mothers, fathers, and children in an urban park playground  A comparison of...  EBSCOhost";20
"1987_DP_Moving against the world  Life-course patterns of explosive children  EBSCOhost";13
"1987_DP_Object permanence in 3½- and 4½-month-old infants  EBSCOhost";13
"1987_DP_Order effects in children's gender-constancy responses  EBSCOhost";4
"1987_DP_Parent-child physical play with rejected, neglected, and popular boys  EBSCOhost";53
"1987_DP_Parents' responses to the emotional distress of their children  Relations w...  EBSCOhost";3
"1987_DP_Performance model analysis in class inclusion  An illustration with two lan...  EBSCOhost";2
"1987_DP_Prosocial development in middle childhood  A longitudinal study  EBSCOhost";32
"1987_DP_Quality of attachment and early symbolic play  EBSCOhost";3
"1987_DP_Representation of speech sounds by young infants  EBSCOhost";1
"1987_DP_Resolution of a developmental paradox  How can perceived internality increa...  EBSCOhost";8
"1987_DP_Self-monitoring in children  A differential approach to social development  EBSCOhost";3
"1987_DP_Sequential analysis of mastery behavior in 6- and 12-month-old infants  EBSCOhost";8
"1987_DP_Sex preferences in sociometric choices  EBSCOhost";12
"1987_DP_Spatial matching in 1½- to 4½-year-old children  EBSCOhost";4
"1987_DP_Specificity of environmental action as manifest in environmental correlates...  EBSCOhost";4
"1987_DP_Temperament and helping behavior in preschool children  EBSCOhost";33
"1987_DP_Temperament stability between the neonatal period and 24 months  EBSCOhost";5
"1987_DP_The dynamic nature of early coordination  Evidence from bilateral leg movem...  EBSCOhost";12
"1987_DP_The relation between social support, infant risk status and mother–infant i...  EBSCOhost";4
"1987_DP_The role of parenting in men's psychosocial development  A longitudinal stu...  EBSCOhost";5
"1987_DP_Time in day care and social participation of young children  EBSCOhost";9
"1987_DP_Turn-taking in mother–infant interaction  An examination of vocalizations a...  EBSCOhost";7
"1987_DP_Type A behavior and aspirations  A study of parents' and children's goal se...  EBSCOhost";23
"1987_DP_Use of the Bayley Infant Behavior Record with preterm and full-term infants  EBSCOhost";7
"1987_DP_Visual recognition memory in high- and low-risk infant pigtailed macaques (...  EBSCOhost";4
"1987_DP_Young children's knowledge about the apparent-real and pretend-real distinc...  EBSCOhost";4
"1988_DP_A prospective study of stressful circumstances, illness symptoms, and depre...  EBSCOhost";6
"1988_DP_A reexamination of newborns' ability to imitate facial expressions  EBSCOhost";3
"1988_DP_A Social Relations Model analysis of parent and child play  EBSCOhost";22
"1988_DP_Accelerating language development through picture book reading  EBSCOhost";7
"1988_DP_Categorical representation of facial expressions by 7-month-old infants  EBSCOhost";6
"1988_DP_Categories of response to reunion with the parent at age 6  Predictable fro...  EBSCOhost";7
"1988_DP_Characteristics, determinants, and consequences of maternal separation anxi...  EBSCOhost";18
"1988_DP_Cognitive mediators of aggression in adolescent offenders  I. Assessment  EBSCOhost";23
"1988_DP_Context effects in left-right shape discrimination  EBSCOhost";5
"1988_DP_Cross-language speech perception  Initial capabilities and developmental ch...  EBSCOhost";26
"1988_DP_Determinants of social competence in Swedish preschoolers  EBSCOhost";8
"1988_DP_Development of categorization skills  Changes in the nature or structure of...  EBSCOhost";12
"1988_DP_Development of grammatical-sensitivity, phonological, and short-term memory...  EBSCOhost";37
"1988_DP_Development of verbal fluency abilities and strategies in elementary-school...  EBSCOhost";20
"1988_DP_Developmental aspects of the feeling of knowing  EBSCOhost";9
"1988_DP_Developmental change in young children's spatial grouping activity  EBSCOhost";16
"1988_DP_Developmental changes in the influence of assigned goals on cooperation and...  EBSCOhost";16
"1988_DP_Differentiation of fantasy and reality  Preschoolers' reactions to interrup...  EBSCOhost";1
"1988_DP_Differentiation of personal distress and sympathy in children and adults  EBSCOhost";66
"1988_DP_Differentiation of vicariously induced emotional reactions in children  EBSCOhost";46
"1988_DP_Elementary-school children's rough-and-tumble play and social competence  EBSCOhost";1
"1988_DP_Evidence of location memory in 8-month-old infants in a nonsearch AB task  EBSCOhost";17
"1988_DP_Fathers and children  Predicting the quality and quantity of fathering  EBSCOhost";9
"1988_DP_Friendships of preschool children in mainstreamed playgroups  EBSCOhost";54
"1988_DP_Functions, operations, and decalage in the development of transitivity  EBSCOhost";18
"1988_DP_Geometric complexity and object search in infancy  EBSCOhost";20
"1988_DP_Growth in head size during infancy  Implications for sound localization  EBSCOhost";3
"1988_DP_How to feel better when it feels bad  Children's perspectives on coping wit...  EBSCOhost";23
"1988_DP_Infant-adult attachments on the kibbutz and their relation to socioemotiona...  EBSCOhost";1
"1988_DP_Infant imitation after a 1-week delay  Long-term memory for novel acts and ...  EBSCOhost";3
"1988_DP_Infant understanding of containment  An affordance perceived or a relations...  EBSCOhost";18
"1988_DP_Infants' localization of sounds along the horizontal axis  Estimates of min...  EBSCOhost";4
"1988_DP_Infants' responses to their mothers' expressions of joy and sadness  EBSCOhost";18
"1988_DP_Influence of adult and peer collaborators on children's planning skills  EBSCOhost";10
"1988_DP_Intentionality and knowledge in children's judgments of actor's responsibil...  EBSCOhost";8
